[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,27-01-2025_RUCL3_TB001_0.1T H PARA C
FILEOPENTIME,2346874.94,01/28/2025,10:59 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,33,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (�A),Bridge 2 Resistance (ohms),Bridge 2 Excitation (�A),Bridge 3 Resistance (ohms),Bridge 3 Excitation (�A),Bridge 4 Resistance (ohms),Bridge 4 Excitation (�A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2356601.02,5.65409015,999.777282714844,0.00357283610134065,3.04325035844425E-7,1,1.99850670813958,40.0298881530762,1.98263748479149,20.2500000596046,0.040087077316024,0.00731111194585046,0.25,2.45580667751247E-5,0.00355371723347885,4.18192269511648E-5,5.6308126,5.6773677,999.777282714844,999.777282714844,62.4677512569297,20.8302221407456,4.781127,0,0,0,80,4886,5.44565,999.777282714844,,,,,,,,,,,,,0,,,,0.2774483,,,,,,5.65409015,,,,
,2356780.655,5.7480953,999.777282714844,0.00358274193333383,2.58372743930442E-7,1,1.99850670813958,40.0298881530762,1.98233980102654,20.2500000596046,0.040193069833641,0.00732686489321087,0.25,2.43174618519581E-5,0.00356357139903083,4.16281189483258E-5,5.7471881,5.7490025,999.777282714844,999.777282714844,62.7890005783336,20.8331196902434,5.154188,0,0,0,80,4886,5.5887,999.777282714844,,,,,,,,,,,,,0,,,,0.2802339,,,,,,5.7480953,,,,
,2356782.71,5.7508812,999.777282714844,0.00358309971516501,1.83113305430084E-7,1,1.99850670813958,40.0298881530762,1.98249694874818,20.2500000596046,0.0402002542020535,0.00732740080701724,0.25,2.42531407732379E-5,0.00356392758645416,4.15658814568558E-5,5.7490025,5.7527599,999.777282714844,999.777282714844,62.7209988971605,20.833536855668,4.781127,0,0,0,80,4886,5.5922,999.777282714844,,,,,,,,,,,,,0,,,,0.2802339,,,,,,5.7508812,,,,
,2356888.565,5.92106055,999.777282714844,0.0036023920786993,2.48536652576763E-7,1,1.99850670813958,40.0298881530762,1.98258895508578,20.2500000596046,0.0404181231559183,0.00736926300533994,0.25,2.45692553753031E-5,0.00358311550311746,4.19742221666086E-5,5.9191775,5.9229436,999.777282714844,999.777282714844,62.5021429117758,20.8352158956254,4.781127,0,0,0,80,4886,5.76975,999.777282714844,,,,,,,,,,,,,0,,,,0.28877385,,,,,,5.92106055,,,,
,2356890.55,5.9244435,999.777282714844,0.00360266848014823,2.3268534413772E-7,1,1.99850670813958,40.0298881530762,1.98250932126283,20.2500000596046,0.0404195260288971,0.00737040030523734,0.25,2.46471874127759E-5,0.00358339004878331,4.20530851553567E-5,5.9229436,5.9259434,999.777282714844,999.777282714844,62.5928118200066,20.8355904267459,5.154188,0,0,0,80,4886,5.77265,999.777282714844,,,,,,,,,,,,,0,,,,0.29020905,,,,,,5.9244435,,,,
,2356993.17,6.09191915,999.777282714844,0.00362546160259345,2.08154635048542E-7,1,1.99850670813958,40.0298881530762,1.98239605808341,20.2500000596046,0.0406725487569675,0.00741936791502484,0.25,2.50472348107158E-5,0.00360605967229545,4.25619528513952E-5,6.0904989,6.0933394,999.777282714844,999.777282714844,62.7897822068528,20.8382445312319,4.781127,0,0,0,80,4886,5.94525,999.777282714844,,,,,,,,,,,,,0,,,,0.3005318,,,,,,6.09191915,,,,
,2356995.19,6.09452935,999.777282714844,0.00362586851943019,1.95384000531175E-7,1,1.99850670813958,40.0298881530762,1.98232063839018,20.2500000596046,0.0406760394635224,0.00741763955671511,0.25,2.484599646704E-5,0.00360646539921756,4.23637653952694E-5,6.0933394,6.0957193,999.777282714844,999.777282714844,62.7335049534682,20.8364014070533,4.781127,0,0,0,80,4886,5.9486,999.777282714844,,,,,,,,,,,,,0,,,,0.30204045,,,,,,6.09452935,,,,
,2357100.38,6.2668874,999.777282714844,0.00365396485575514,2.79442272321878E-7,1,1.99850670813958,40.0298881530762,1.98237033734999,20.2500000596046,0.0409922367379457,0.00747513251227126,0.25,2.50239922328339E-5,0.00363441107103939,4.26775766276052E-5,6.2636461,6.2701287,999.777282714844,999.777282714844,62.8741980869297,20.8380445433145,4.781127,0,0,0,80,4886,6.12895,999.777282714844,,,,,,,,,,,,,0,,,,0.31122945,,,,,,6.2668874,,,,
,2357102.395,6.27257965,999.777282714844,0.00365505331926967,2.80322095375701E-7,1,1.99850670813958,40.0298881530762,1.9824998538662,20.2500000596046,0.0410070597017871,0.00747749987662833,0.25,2.50024885616226E-5,0.00363549383756266,4.26614855504533E-5,6.2701287,6.2750306,999.777282714844,999.777282714844,62.6795725856412,20.838464845096,4.781127,0,0,0,80,4886,6.13285,999.777282714844,,,,,,,,,,,,,0,,,,0.31122945,,,,,,6.27257965,,,,
,2357195.52,6.3322172,999.777282714844,,,2,,,,20.255999884367,,,,,,,6.3322172,6.3322172,999.777282714844,999.777282714844,,,5.154188,,,,-99999999,4882,6.355,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,6.3322172,,,,
touchdown = 15.089999884367 mm,2357215.415,6.4445601,999.777282714844,0.00368670368952099,1.92316601326155E-7,1,1.99850670813958,40.0298881530762,1.99412752158771,20.2399995177984,0.0415936542336958,0.00758291283369378,0.25,2.50859711244646E-5,0.00366697506673123,4.28985860246065E-5,6.4445601,6.4445601,999.777282714844,999.777282714844,62.7131826119682,20.8334630204562,5.154188,0,0,0,80,4886,6.3143,999.777282714844,,,,,,,,,,,,,0,,,,0.3255358,,,,,,6.4445601,,,,
,2357216.41,6.44304065,999.777282714844,0.00368538709284837,2.11378151506606E-7,1,1.99850670813958,40.0298881530762,1.99410442641084,20.2399995177984,0.0415782592913758,0.00758058998925279,0.25,2.51185173842036E-5,0.00366566531731887,4.29245503523938E-5,6.4415212,6.4445601,999.777282714844,999.777282714844,62.5138673395643,20.8317383846662,5.154188,0,0,0,80,4886,6.31435,999.777282714844,,,,,,,,,,,,,0,,,,0.3255358,,,,,,6.44304065,,,,
,2357310.335,6.6085231,999.777282714844,0.00372410057299518,2.43979004646837E-7,1,1.99850670813958,40.0298881530762,1.99413075499759,20.2399995177984,0.0420151347969206,0.00766265981637786,0.25,2.55898352471919E-5,0.00370417018599516,4.35818049049598E-5,6.6063485,6.6106977,999.777282714844,999.777282714844,62.9195325410451,20.8345161036246,4.781127,0,0,0,80,4882,6.48665,999.777282714844,,,,,,,,,,,,,0,,,,0.3371235,,,,,,6.6085231,,,,
,2357312.345,6.61165045,999.777282714844,0.00372484880322934,1.96735009891897E-7,1,1.99850670813958,40.0298881530762,1.99419224662925,20.2399995177984,0.04202580897643,0.00765873129138163,0.25,2.50909650570172E-5,0.00370491685687496,4.30892299620008E-5,6.6106977,6.6126032,999.777282714844,999.777282714844,62.6248585892951,20.8341607595905,4.781127,0,0,0,80,4882,6.4909,999.777282714844,,,,,,,,,,,,,0,,,,0.3371235,,,,,,6.61165045,,,,
