[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_110-180K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7830822.2,,5905,,142.441,0.316,9E-6,142.21623,3.3576543,72.617415,0.2263,3651.0074,2.749,15203.698,8.431,1.2959495,122.2215,0.14427475,99.352425,371.07706,2.358,1,,,,0.00012486333,251.42525,20225.456,0.51061271,0
7831708.94,,5905,,142.4,0.316,9.1E-6,142.29664,3.3651583,72.393804,0.2431,3654.4596,2.751,15171.576,16.66,0.024714985,119.2465,0.092170532,99.577015,373.21165,2.799,1,,,,0.00012754038,244.44301,20248.334,0.50875273,0
7832573.33,,5905,,142.399,0.316,9.2E-6,142.30007,3.3221954,72.175728,0.2313,3654.7019,2.751,15137.125,11.96,0.16304474,118.72947,0.08239472,99.620865,375.09648,2.536,1,,,,0.00012777195,238.49299,20249.31,0.50720796,0
7833735.94,,5905,,143.796,0.316,9.1E-6,143.49497,3.2770405,72.823303,0.225,3706.3352,2.78,15291.781,7.005,0.61715216,120.96896,0.12746643,99.425675,372.62513,2.308,1,,,,0.00012683036,237.45895,20590.807,0.50749725,0
7834614.77,,5905,,143.796,0.316,9.1E-6,143.63865,3.4001101,72.639044,0.227,3712.7679,2.783,15268.9,8.833,2.2787738,120.93878,0.13221788,99.405415,374.6005,2.405,1,,,,0.00012668618,241.93791,20632.063,0.5057068,0
7835493.19,,5905,,143.791,0.316,9E-6,143.60985,3.4144338,73.055774,0.2307,3711.9517,2.783,15334.381,10.33,3.1191547,123.44765,0.16523414,99.269643,370.90081,2.501,1,,,,0.00012474339,241.87756,20623.788,0.50871006,0
7836569.7,,5905,,145.17,0.316,9.1E-6,144.87053,3.4018285,73.415164,0.2326,3765.9058,2.815,15445.511,10.82,0.72287401,122.9562,0.17157428,99.242305,370.99878,2.563,1,,,,0.00012616716,246.89531,20987.469,0.50676398,0
7837459.61,,5905,,145.17,0.316,9E-6,145.03376,3.4531993,73.056153,0.2313,3772.6301,2.819,15395.12,10.66,0.15424467,119.24931,0.099042243,99.550774,374.57501,2.544,1,,,,0.00012943259,245.9124,21034.792,0.50371826,0
7838325.52,,5905,,145.163,0.316,9.1E-6,145.00112,3.4313104,73.229042,0.2332,3772.2484,2.819,15422.243,11.39,3.2156332,123.67835,0.17506443,99.233067,372.97073,2.591,1,,,,0.0001252471,238.49862,21025.325,0.50502397,0
7839403.53,,5905,,146.544,0.316,9.1E-6,146.36377,3.438144,74.049669,0.2374,3830.4051,2.855,15610.953,12.35,2.5341567,123.21073,0.18338397,99.195248,369.17799,2.701,1,,,,0.00012728749,247.35671,21422.354,0.50592895,0
