[Header]
TITLE,H parra C RuCl3 9T HC, I removeed the 190th line to make it plot nicely as it had no sample coupling for that point
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (�J/K)
8319388.27,Error: Warning: Current field is 90000.391 Oe;
8319388.42,Error: but addenda was obtained at 0.021 Oe.
8319472.19,Error: Temperature of platform does not match the system temperature : System = 15.003 K;  Platform = 14.376 K
8329038.64,,5905,,24.9233,90000.391,9.1E-6,24.429538,0.67632033,8.1605291,0.0287,118.12927,0.1975,1416.3863,2.318,0.73196685,41.286744,0.010725564,99.659385,237.78821,0.4099,1,,,,3.4404614E-5,77.915096,596.80233,0.33404353,0
8329354.34,,5905,,24.9233,90000.391,9.1E-6,24.469501,0.69824249,8.1959859,0.02924,118.5729,0.1986,1422.4708,2.447,7.7703799,40.526719,,,237.8078,0.4184,1,,,,3.5099579E-5,82.573487,598.75646,0.334947,0
8329666.67,,5905,,24.9233,90000.391,9E-6,24.479028,0.69125415,8.191481,0.02868,118.66318,0.1988,1421.8444,2.277,5.9567045,40.361026,,,237.94723,0.4077,1,,,,3.5228152E-5,81.053437,599.2228,0.33463261,0
8330155.22,,5905,,26.2257,90000.391,9.1E-6,25.700174,0.71200004,8.8995962,0.03123,130.79783,0.2247,1546.6329,2.505,0.53457018,43.381784,0.011187553,99.666134,242.46878,0.4216,1,,,,3.5751775E-5,80.722052,660.49893,0.34628545,0
8330443.22,,5905,,26.2257,90000.391,9E-6,25.748525,0.75862027,8.9377516,0.03087,131.283,0.2256,1553.1882,2.356,20.595639,43.247746,0.0094728248,99.716391,242.54868,0.4121,1,,,,3.5999363E-5,86.763568,662.98653,0.34711703,0
8330774.13,,5905,,26.2257,90000.391,9E-6,25.761888,0.75569667,8.9347204,0.03022,131.40775,0.2258,1552.8307,2.136,74.779737,42.810927,0.0076170264,99.769956,242.7044,0.3989,1,,,,3.6341922E-5,86.495492,663.67488,0.34681931,0
8331329.73,,5905,,27.5877,90000.391,9.1E-6,27.089667,0.75232183,9.7182184,0.03477,145.28718,0.2474,1691.3567,2.941,0.2707651,45.607767,0.012457944,99.651309,247.50681,0.4484,1,,,,3.7193298E-5,85.621855,733.85004,0.35874263,0
8331674.98,,5905,,27.5933,90000.391,9.1E-6,27.126103,0.7956227,9.7849345,0.03353,145.66876,0.2479,1702.3522,2.49,2.4568881,45.311183,0.010522795,99.702609,247.21749,0.4209,1,,,,3.7663971E-5,91.215534,735.82548,0.36072024,0
8332019.83,,5905,,27.5877,90000.391,9.1E-6,27.132075,0.79062049,9.7649899,0.03307,145.71152,0.248,1699.2219,2.35,3.5315283,44.605606,0.0057819859,99.834475,247.45743,0.4133,1,,,,3.8147158E-5,90.622366,736.14952,0.35990575,0
8332636.48,,5905,,29.0306,90000.391,9.2E-6,28.526134,0.7803655,10.637766,0.03706,160.80101,0.266,1853.1612,2.91,0.38881257,48.056009,0.012518312,99.670541,252.05558,0.4467,1,,,,3.8668862E-5,89.211212,813.74034,0.37291298,0
8333001.34,,5905,,29.0306,90000.391,9.2E-6,28.568097,0.83285822,10.668084,0.03589,161.24069,0.2665,1858.4241,2.48,6.232888,47.490921,0.0084219141,99.77585,252.15844,0.4229,1,,,,3.920553E-5,96.112017,816.13619,0.37342646,0
8333362.63,,5905,,29.0306,90000.391,9.2E-6,28.568389,0.82723107,10.661547,0.03568,161.24502,0.2665,1857.3886,2.41,2.0400623,47.376716,0.008216389,99.780917,252.2187,0.4192,1,,,,3.9276466E-5,94.981842,816.15283,0.37319385,0
8333962.8,,5905,,30.5387,90000.391,9E-6,29.976872,0.82409073,11.600366,0.04317,177.00557,0.2859,2022.5057,3.986,0.40866916,51.65668,0.018428068,99.551945,256.38221,0.5049,1,,,,3.9299614E-5,94.753432,898.61286,0.38697721,0
8334352.94,,5905,,30.5387,90000.391,9E-6,30.050944,0.87762376,11.629174,0.03948,177.80246,0.287,2027.8856,2.833,5.5864559,50.264102,0.010550667,99.73713,256.7739,0.4448,1,,,,4.0433134E-5,103.31336,903.05925,0.38698199,0
8334733.72,,5905,,30.5387,90000.391,9.2E-6,30.059178,0.86373764,11.616972,0.03883,177.90207,0.2872,2026.044,2.605,3.7606116,49.915408,0.0088190143,99.779095,256.94663,0.4332,1,,,,4.0664339E-5,100.5282,903.5542,0.38647005,0
8335662.33,,5905,,32.1281,90000.391,9.1E-6,31.600002,0.85121647,12.645847,0.04441,195.93395,0.3204,2207.7593,3.57,0.53816177,53.646115,0.016239083,99.624762,261.47866,0.4858,1,,,,4.1282887E-5,99.830816,998.56015,0.40018499,0
8336067.17,,5905,,32.1172,90000.391,9.2E-6,31.647461,0.90405542,12.663141,0.04236,196.47178,0.3216,2211.0486,2.852,6.3858819,52.557483,0.0092489279,99.782332,261.73302,0.4502,1,,,,4.2145349E-5,107.29223,1001.5618,0.40013135,0
8336462.59,,5905,,32.1172,90000.391,9.2E-6,31.644202,0.89368977,12.65962,0.04221,196.43921,0.3216,2210.4557,2.801,1.5762469,52.487385,0.00919483,99.783337,261.73421,0.4477,1,,,,4.2189965E-5,105.11497,1001.3555,0.40006127,0
8337344.05,,5905,,33.8049,90000.391,9E-6,33.280613,0.88238925,13.747026,0.04686,216.55484,0.3705,2403.5666,3.414,0.46852212,55.932114,0.014611817,99.680664,266.55288,0.4829,1,,,,4.3086934E-5,104.97477,1107.5992,0.41306408,0
8337761.52,,5905,,33.7828,90000.391,9E-6,33.32141,0.93413573,13.781283,0.04564,217.04377,0.3717,2409.5055,2.93,2.7194447,55.326658,0.0098163642,99.783224,266.61771,0.4597,1,,,,4.3628883E-5,111.86423,1110.3164,0.41358642,0
8338176.98,,5905,,33.7938,90000.391,9E-6,33.320577,0.92829628,13.781217,0.04568,217.03557,0.3716,2409.4868,2.944,1.3240291,55.282677,0.0097447499,99.78463,266.61155,0.4604,1,,,,4.3662744E-5,110.65332,1110.2609,0.41359479,0
8339097.36,,5905,,35.551,90000.391,9E-6,35.025712,0.91845574,14.963431,0.0516,238.74726,0.4164,2619.2767,3.918,0.6108347,59.34836,0.018283747,99.627208,271.20329,0.5117,1,,,,4.4270387E-5,110.56535,1226.8005,0.42721275,0
8339540.11,,5905,,35.551,90000.391,9.1E-6,35.081256,0.97567581,14.97103,0.04925,239.42653,0.4175,2621.165,3.05,6.2602144,58.273622,0.010879007,99.774743,271.57773,0.4725,1,,,,4.5064161E-5,118.69672,1230.6945,0.42675298,0
8339978.58,,5905,,35.5625,90000.391,9.1E-6,35.079025,0.96561697,14.971257,0.04917,239.40492,0.4175,2621.1794,3.017,1.210036,58.215139,0.010815803,99.775809,271.5588,0.471,1,,,,4.5109284E-5,116.54724,1230.538,0.42678658,0
8340889.53,,5905,,37.4113,90000.391,9E-6,36.878061,0.9571471,16.196591,0.05598,262.91237,0.4456,2839.6251,4.284,0.23082112,62.201083,0.018050251,99.653817,276.46897,0.5357,1,,,,4.5782962E-5,116.43028,1359.9914,0.43919315,0
