[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_300-3K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7585905.05,,5905,,108.359,0.316,9.1E-6,108.01421,2.5122302,59.533133,0.191,2205.6095,1.807,11676.725,9.973,0.1053293,122.0405,0.085501649,99.542052,367.35758,1.625,1,,,,9.596889E-5,246.25697,11667.069,0.55116022,0
7586789.22,,5905,,108.331,0.316,9.1E-6,108.05083,2.4996089,59.469399,0.1866,2207.0777,1.808,11668.053,7.694,0.8740744,121.91785,0.084178584,99.549184,367.9075,1.529,1,,,,9.598937E-5,244.081,11674.981,0.55038355,0
7588321.95,,5905,,105.885,0.316,9.1E-6,105.55399,2.4510085,58.417786,0.1864,2108.8758,1.73,11402.551,9.295,0.12733917,121.55789,0.082067885,99.55146,366.28621,1.549,1,,,,9.4084417E-5,243.8357,11141.645,0.55343986,0
7589203.34,,5905,,105.885,0.316,9E-6,105.5827,2.4359407,58.251538,0.1827,2109.8529,1.731,11377.079,7.513,0.26408714,120.67246,0.072312372,99.602779,367.47815,1.474,1,,,,9.4530283E-5,243.11577,11147.706,0.55171482,0
7590078.25,,5905,,105.888,0.316,9E-6,105.55681,2.4230528,58.249102,0.1862,2108.8207,1.73,11375.659,9.431,0.061947004,120.12194,0.065608503,99.637892,367.40407,1.553,1,,,,9.4929446E-5,241.34492,11142.24,0.55182704,0
7591603.39,,5905,,103.485,0.316,9.1E-6,103.06735,2.3701236,57.237609,0.1842,2012.4908,1.656,11118.411,9.888,0.086081194,120.74576,0.079313698,99.55622,365.25382,1.526,1,,,,9.235667E-5,240.24388,10622.879,0.5553418,0
7592478.44,,5905,,103.488,0.316,9.2E-6,103.12784,2.376175,57.209213,0.1805,2014.8355,1.657,11116.238,7.998,9.3760887,121.20069,0.083105187,99.537213,365.65185,1.45,1,,,,9.2003671E-5,241.49152,10635.351,0.55474074,0
7593353.89,,5905,,103.485,0.316,9.2E-6,103.0924,2.3810821,57.21427,0.1831,2013.418,1.656,11115.625,9.379,0.11588242,120.77224,0.078014743,99.563838,365.4935,1.506,1,,,,9.2308451E-5,242.40138,10628.043,0.55498049,0
7594780.45,,5905,,101.127,0.316,9E-6,100.73796,2.3752387,56.169988,0.1821,1923.7856,1.588,10859.858,10.29,0.16399355,121.02595,0.086080405,99.511203,363.77201,1.5,1,,,,9.0030302E-5,241.54448,10148.136,0.55758515,0
7595656.33,,5905,,101.127,0.316,9.2E-6,100.74863,2.3289141,55.842302,0.1806,1923.7022,1.588,10807.644,10.04,0.050466077,117.93464,0.049889304,99.71058,365.90129,1.488,1,,,,9.1820771E-5,242.05189,10150.286,0.55427356,0
7596512.66,,5905,,101.127,0.316,9.1E-6,100.72927,2.3028647,55.914012,0.1755,1923.2563,1.588,10818.606,7.253,0.72311878,119.79105,0.072216924,99.586959,365.37304,1.376,1,,,,9.0565692E-5,235.86927,10146.385,0.55509202,0
7597927.78,,5905,,98.7886,0.316,9.2E-6,98.386104,2.2717895,54.917196,0.1789,1835.1315,1.523,10571.898,10.44,0.080971735,119.65442,0.076840064,99.551601,363.11576,1.462,1,,,,8.862556E-5,239.5821,9679.8255,0.55818041,0
