,Time,Temperature(K),Field(Oe),Field(T),Long Moment(emu),Long err,Susceptibility(m^3/mol),err
8290,3948970968.112,11.1032905578613,99.7660293579102,0.00997660293579102,3.41021368619665e-06,2.1272569142179e-07,1.4062407525381421e-08,8.778082047170828e-10
8291,3948970969.104,11.1063418388367,99.7570266723633,0.00997570266723633,3.65860996221233e-06,2.27051357464163e-07,1.508805959409013e-08,9.370140390943696e-10
8292,3948970970.1185,11.1094403266907,99.7300109863281,0.009973001098632809,3.36328830194453e-06,2.4512649706238e-07,1.3873914195059808e-08,1.0116869361454714e-09
8293,3948970971.143,11.1128101348877,99.7300109863281,0.009973001098632809,3.41920887566124e-06,2.0268548120853e-07,1.4104592380166802e-08,8.367418750529882e-10
8294,3948970972.1425,11.1163535118103,99.739013671875,0.0099739013671875,3.2988945651648e-06,1.84454352713704e-07,1.3607055013991538e-08,7.614825100177864e-10
8295,3948970973.141,11.1199622154236,99.7660293579102,0.00997660293579102,3.07818268184896e-06,2.30745863238098e-07,1.2693239571743204e-08,9.519648347925801e-10
8296,3948970974.144,11.1234269142151,99.8110618591309,0.00998110618591309,3.55217760710301e-06,2.08293460929353e-07,1.464120328383136e-08,8.592093949600939e-10
8297,3948970975.1135,11.1266131401062,99.820068359375,0.0099820068359375,3.38353481183046e-06,2.19261953927719e-07,1.3944840799709354e-08,9.042440767348984e-10
8298,3948970976.078,11.1299901008606,99.820068359375,0.0099820068359375,3.50954344350492e-06,1.75966490900181e-07,1.446417055566329e-08,7.260048728627538e-10
8299,3948970977.0815,11.1335988044739,99.8290748596191,0.00998290748596191,3.5839500713869e-06,1.69740771156426e-07,1.476949610924676e-08,7.003462889205392e-10
8300,3948970978.1055,11.1369023323059,99.8110618591309,0.00998110618591309,3.60519165633787e-06,2.11176929447537e-07,1.4859714168589641e-08,8.711051464465302e-10
8301,3948970979.103,11.1403965950012,99.7930488586426,0.00997930488586426,3.34981205167883e-06,2.67905204542827e-07,1.38095944191025e-08,1.1049055777310994e-09
8302,3948970980.0975,11.1440010070801,99.8020553588867,0.009980205535888671,3.03556270207623e-06,1.72203069699847e-07,1.2512972698034116e-08,7.104390180984196e-10
8303,3948970981.1055,11.147397518158,99.8020553588867,0.009980205535888671,3.71824993248346e-06,1.92176885559571e-07,1.5327095651099598e-08,7.929788979349714e-10
8304,3948970982.101,11.150887966156,99.7750358581543,0.00997750358581543,3.19583569168724e-06,2.25890030483946e-07,1.317720567250304e-08,9.319033779856434e-10
8305,3948970983.0985,11.1543006896973,99.7840423583984,0.009978404235839839,2.97179054413946e-06,1.89880400195388e-07,1.225230719725214e-08,7.833706533462406e-10
8306,3948970984.0745,11.15749168396,99.8110618591309,0.00998110618591309,3.4984782636254e-06,2.07073720610333e-07,1.441986778458948e-08,8.541655341815354e-10
8307,3948970985.0575,11.160596370697,99.7750396728516,0.00997750396728516,3.49804313650169e-06,1.88361803416822e-07,1.4423279713203026e-08,7.773853517624834e-10
8308,3948970986.0615,11.1640787124634,99.7480201721191,0.00997480201721191,3.35179081575423e-06,1.89246473404514e-07,1.3823989540442669e-08,7.811822551879241e-10
8309,3948970987.0795,11.1679620742798,99.8020553588867,0.009980205535888671,3.61075952702589e-06,1.98310208020821e-07,1.4884006629129721e-08,8.181922213588035e-10
8310,3948970988.075,11.1716032028198,99.8290748596191,0.00998290748596191,3.35800368945165e-06,1.55574425332747e-07,1.3838368682128427e-08,6.419310625215856e-10
8311,3948970989.0585,11.1757960319519,99.8110618591309,0.00998110618591309,3.1892476515136e-06,2.38404716771323e-07,1.3145295183135329e-08,9.831210774410234e-10
8312,3948970990.088,11.1789569854736,99.8110618591309,0.00998110618591309,3.37318188621529e-06,2.26730644333863e-07,1.3903426903727892e-08,9.350871892983116e-10
8313,3948970991.075,11.1823472976685,99.7930488586426,0.00997930488586426,3.63604683057939e-06,2.3702888865497e-07,1.498959680260255e-08,9.777727886539239e-10
8314,3948970992.0815,11.1854090690613,99.757022857666,0.0099757022857666,3.15356927541819e-06,1.95221498668225e-07,1.3005278909897953e-08,8.056588391504767e-10
8315,3948970993.1115,11.1884841918945,99.7750358581543,0.00997750358581543,3.39834670841119e-06,2.21697562895877e-07,1.4012207711331369e-08,9.146934642786552e-10
8316,3948970994.105,11.1916632652283,99.820068359375,0.0099820068359375,3.51467640852232e-06,1.9119940981814e-07,1.4485325467310082e-08,7.887255983574497e-10
