[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949066880.3983,02/18/2025,7:04 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3949069067.9645,7.99770212173462,2047.33471679687,-0.0157738033618157,6.53857193673749E-6,1,0.999253354069792,40.0298881530762,1.9987670698493,17.8900007158518,-0.172348244058829,-0.0317167979970798,2.5,-0.000109567698120124,-0.0156690578771825,-0.000186499037731588,7.99763441085815,7.99763441085815,1992.42822265625,2102.2412109375,56.3593243791406,20.6262050178406,6.49832582473755,0,0,0,40,8.01804351806641,1,6,1,2.24411010742187,33.2355842590332,,,,,,,,,,,,,,,,
,3949069068.968,7.99791574478149,2147.20227050781,-0.0158937469893774,5.42029846910979E-6,1,0.999253354069792,40.0298881530762,1.99870790992144,17.8900007158518,-0.173654677592645,-0.0319583211098035,2.5,-0.000110398867349765,-0.0157882922851465,-0.000188015270504847,7.99776983261108,7.99776983261108,2102.2412109375,2192.16333007813,55.5136023213328,20.6233289444163,6.49794483184814,0,0,0,40,8.01842880249023,1,6,1,2.24609375,33.2355842590332,,,,,,,,,,,,,,,,
,3949069069.9815,7.99815559387207,2246.97192382813,-0.0159874307655434,4.81015237949538E-6,1,0.999253354069792,40.0298881530762,1.99887238174831,17.8900007158518,-0.174694175033011,-0.0321420374083412,2.5,-0.000110277073483058,-0.0158814468607313,-0.000188457426042256,7.9980616569519,7.9980616569519,2192.16333007813,2301.78051757813,55.6785259388905,20.6327398162639,6.49901676177978,0,0,0,40,8.01884651184082,1,6,1,2.22915649414062,33.7243423461914,,,,,,,,,,,,,,,,
,3949069070.9905,7.99839568138122,2351.56604003906,-0.0160542914224488,3.43696119022953E-6,1,0.999253354069792,40.0298881530762,1.99857455146065,17.8900007158518,-0.175402985003931,-0.0322609393697372,2.5,-0.00010961191874257,-0.0159479640403524,-0.000188234161308888,7.99824953079224,7.99824953079224,2301.78051757813,2401.3515625,55.7152624792944,20.6183411347961,6.4991888999939,0,0,0,40,8.01897239685059,1,6,1,2.2442626953125,33.7243423461914,,,,,,,,,,,,,,,,
,3949069071.959,7.99862027168274,2446.18762207031,-0.0161003978431612,3.41588114966792E-6,1,0.999253354069792,40.0298881530762,1.99888795975805,17.8900007158518,-0.175937255114956,-0.0323392708342385,2.5,-0.000108064240157245,-0.0159938605779316,-0.000187022764921708,7.99854183197021,7.99854183197021,2401.3515625,2491.02368164062,56.0568341421982,20.6359618490987,6.49851846694946,0,0,0,40,8.0191764831543,1,6,1,2.24136352539062,33.7243423461914,,,,,,,,,,,,,,,,
,3949069072.93,7.99881744384766,2540.81604003906,-0.0161287985551794,2.43395772032042E-6,1,0.999253354069792,40.0298881530762,1.99878849927534,17.8900007158518,-0.176236590861069,-0.0324156614204783,2.5,-0.000110048016787884,-0.0160221516535499,-0.000189233048428845,7.99869871139526,7.99869871139526,2491.02368164062,2590.6083984375,55.6449159125636,20.623335830375,6.49974155426025,0,0,0,40,8.01938533782959,1,6,1,2.24868774414062,33.7243423461914,,,,,,,,,,,,,,,,
,3949069073.9115,7.99911451339722,2640.38732910156,-0.0161417619422245,3.33890936195569E-6,1,0.999253354069792,40.0298881530762,1.99891892851204,17.8900007158518,-0.176393242749156,-0.0324265881553053,2.5,-0.000108448593569442,-0.0160351302717087,-0.000187813301282078,7.99893617630005,7.99893617630005,2590.6083984375,2690.16625976562,56.005246659929,20.6309595722821,6.49992179870605,0,0,0,40,8.01942157745361,1,6,1,2.2265625,34.2131004333496,,,,,,,,,,,,,,,,
,3949069074.9265,7.99935102462769,2740.14221191406,-0.0161307146481422,2.80638788826019E-6,1,0.999253354069792,40.0298881530762,1.99880654911694,17.8900007158518,-0.176261172013762,-0.0324197290040569,2.5,-0.000109811193429597,-0.0160242422961603,-0.00018921783849067,7.99929285049438,7.99929285049438,2690.16625976562,2790.1181640625,55.3424256756212,20.6270387183905,6.49990081787109,0,0,0,40,8.01958847045898,1,6,1,2.24685668945313,34.2131004333496,,,,,,,,,,,,,,,,
,3949069075.939,7.99953174591064,2840.05859375,-0.0160935618163997,3.7180147726306E-6,1,0.999253354069792,40.0298881530762,1.99888834082035,17.8900007158518,-0.175868116418358,-0.0323179630233591,2.5,-0.0001068436222095,-0.0159874423692207,-0.000186191423824744,7.99940919876099,7.99940919876099,2790.1181640625,2889.9990234375,55.6402261414482,20.6279032598501,6.49978017807007,0,0,0,40,8.01982879638672,1,6,1,2.26089477539062,34.2131004333496,,,,,,,,,,,,,,,,
,3949069076.951,7.99970769882202,2944.86535644531,-0.0160943517561407,3.66846078900675E-6,1,0.999253354069792,40.0298881530762,1.99877324201822,17.8900007158518,-0.175871749719999,-0.0322981850410548,2.5,-0.000104927225762185,-0.0159883362806509,-0.000184403576445903,7.9996542930603,7.9996542930603,2889.9990234375,2999.73168945313,56.0802829977752,20.6343466290625,6.50043773651123,0,0,0,40,8.02018642425537,1,6,1,2.2515869140625,34.2131004333496,,,,,,,,,,,,,,,,
