[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949044084.4954,02/18/2025,12:44 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3949048401.7295,4.19945049285889,67160.31640625,0.0462707685870917,4.94676042210202E-5,1,0.999253354069792,40.0298881530762,1.99886644136719,17.8999993950129,0.50809583729044,0.0972333136788756,2.5,0.000535805354155358,0.046247857725104,0.000878474550441,4.19937992095947,4.19937992095947,67110.75,67209.8828125,55.9786712902751,20.6393945402297,3.57842206954956,0,0,0,40,4.20383882522583,1,6,1,2.25006103515625,43.0107536315918,,,,,,,,,,,,,,,,
,3949048402.7285,4.19952893257141,67061.0703125,0.0464957996058379,5.22772630376982E-5,1,0.999253354069792,40.0298881530762,1.99887569251904,17.8900007158518,0.510584766754153,0.0975938844998117,2.5,0.000528206236177958,0.0464724492499088,0.00087257513630722,4.1995210647583,4.1995210647583,67011.390625,67110.75,56.0599606562752,20.6462725827061,3.57815337181091,0,0,0,40,4.20389795303345,1,6,1,2.24716186523438,42.5219955444336,,,,,,,,,,,,,,,,
,3949048403.7475,4.19955468177795,66961.6640625,0.0466854637440572,5.48621402150492E-5,1,0.999253354069792,40.0298881530762,1.99892893642755,17.8900007158518,0.512673582241859,0.0980071711242483,2.5,0.000531557026021901,0.0466616028472593,0.000877358877368691,4.19953680038452,4.19953680038452,66911.9375,67011.390625,56.3093001539098,20.6365017040986,3.5781421661377,0,0,0,40,4.20409917831421,1,6,1,2.2552490234375,42.5219955444336,,,,,,,,,,,,,,,,
,3949048404.747,4.19969415664673,66862.57421875,0.0468298601787937,5.89894245430462E-5,1,0.999253354069792,40.0298881530762,1.99882277708843,17.8999993950129,0.514183870419793,0.0985554864838826,2.5,0.0005559755114532,0.0468053498476017,0.000902865260832935,4.19957256317139,4.19957256317139,66813.2109375,66911.9375,55.8966002957559,20.6360228468126,3.57789325714111,0,0,0,40,4.20422077178955,1,6,1,2.24334716796875,42.5219955444336,,,,,,,,,,,,,,,,
,3949048405.7365,4.19981932640076,66763.48828125,0.0471859526094294,4.71384932836137E-5,1,0.999253354069792,40.0298881530762,1.99900327463219,17.8900007158518,0.51808952583742,0.0995580378783617,2.5,0.000582477114154739,0.0471606804378452,0.000932022531016542,4.19981575012207,4.19981575012207,66713.765625,66813.2109375,55.8371965282944,20.6475565222375,3.57803559303284,0,0,0,40,4.20439338684082,1,6,1,2.26364135742187,42.5219955444336,,,,,,,,,,,,,,,,
,3949048406.73,4.19988322257996,66664.12109375,0.0474400633356915,4.31183166297151E-5,1,0.999253354069792,40.0298881530762,1.99871594643678,17.8900007158518,0.52083996477213,0.099879458797146,2.5,0.00056738141356573,0.0474143760690612,0.000918844892191745,4.19982290267944,4.19982290267944,66614.4765625,66713.765625,56.2842880412944,20.6327194213866,3.57825922966003,0,0,0,40,4.20460987091064,1,6,1,2.24563598632813,42.0332374572754,,,,,,,,,,,,,,,,
,3949048407.7295,4.19994473457336,66564.89453125,0.0477222470142841,5.1592825812782E-5,1,0.999253354069792,40.0298881530762,1.99884477512655,17.8999993950129,0.524027500573169,0.100133145685001,2.5,0.000539304169994163,0.0476962236901305,0.000892899962921109,4.19994354248047,4.19994354248047,66515.3125,66614.4765625,55.483900437602,20.6395682169105,3.57825326919556,0,0,0,40,4.20427513122559,1,6,1,2.2467041015625,42.5219955444336,,,,,,,,,,,,,,,,
,3949048408.752,4.19996786117554,66460.734375,0.0480691654300673,4.13505352885039E-5,1,0.999253354069792,40.0298881530762,1.99883193704842,17.8900007158518,0.527849501488814,0.100744580229928,2.5,0.000532740835074419,0.048042589862071,0.000888940605427601,4.19994592666626,4.19994592666626,66406.15625,66515.3125,56.7063674416791,20.6395315588867,3.57814955711365,0,0,0,40,4.20453786849976,1,6,1,2.24029541015625,42.5219955444336,,,,,,,,,,,,,,,,
,3949048409.7445,4.19996976852417,66361.35546875,0.0482854914228902,4.73057677108824E-5,1,0.999253354069792,40.0298881530762,1.99889077002181,17.8900007158518,0.530213227448597,0.101322059825865,2.5,0.000546205775117406,0.0482582912670868,0.000904030234545989,4.19998979568481,4.19998979568481,66316.5546875,66406.15625,56.1326521085636,20.6404025461974,3.57845377922058,0,0,0,40,4.20459175109863,1,6,1,2.22854614257813,42.5219955444336,,,,,,,,,,,,,,,,
,3949048410.715,4.19985961914063,66267.09765625,0.0485095462111218,5.43424621666055E-5,1,0.999253354069792,40.0298881530762,1.99872221993544,17.8900007158518,0.532660407531955,0.101594237158056,2.5,0.000531529814783541,0.0484819440856522,0.00089104823181442,4.19994974136353,4.19994974136353,66217.640625,66316.5546875,57.1815975813714,20.6332067349883,3.57806301116943,0,0,0,40,4.20441389083862,1,6,1,2.24227905273438,42.5219955444336,,,,,,,,,,,,,,,,
