Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.115528,0.000258,16:29:20
1.115522,0.000258,16:29:21
1.115517,0.000258,16:29:22
1.11551,0.000264,16:29:23
1.115504,0.000264,16:29:24
1.115498,0.000264,16:29:25
1.115492,0.000264,16:29:25
1.115486,0.000251,16:29:26
1.11548,0.00027,16:29:27
1.115474,0.000264,16:29:28
1.115468,0.000258,16:29:29
1.115462,0.000258,16:29:30
1.115457,0.000258,16:29:31
1.115452,0.000258,16:29:32
1.115444,0.000264,16:29:33
1.115439,0.000258,16:29:34
1.115433,0.000264,16:29:35
1.115427,0.000264,16:29:36
1.115422,0.000264,16:29:37
1.115416,0.000264,16:29:38
1.11541,0.000258,16:29:39
1.115403,0.000264,16:29:40
1.115398,0.000264,16:29:41
1.115393,0.000264,16:29:41
1.115386,0.000258,16:29:42
1.11538,0.000258,16:29:43
1.115374,0.000264,16:29:44
1.115367,0.000258,16:29:45
1.115361,0.000264,16:29:46
1.115356,0.000258,16:29:47
1.115351,0.000258,16:29:48
1.115343,0.000251,16:29:49
1.115337,0.000258,16:29:50
1.115331,0.000264,16:29:51
1.115325,0.000264,16:29:52
1.115319,0.000258,16:29:53
1.115313,0.000258,16:29:54
1.115307,0.000258,16:29:55
1.115302,0.000264,16:29:56
1.115295,0.000264,16:29:57
1.115289,0.000264,16:29:57
1.115282,0.000264,16:29:58
1.115277,0.000264,16:29:59
1.115272,0.000264,16:30:00
1.115266,0.000258,16:30:01
1.115259,0.000258,16:30:02
1.115252,0.000251,16:30:03
1.115246,0.000264,16:30:04
1.115239,0.000258,16:30:05
1.115235,0.000258,16:30:06
1.115229,0.000258,16:30:07
1.115223,0.000264,16:30:08
1.115215,0.000258,16:30:09
1.115208,0.000264,16:30:10
1.115204,0.000264,16:30:11
1.115198,0.000258,16:30:12
1.115192,0.000258,16:30:13
1.115187,0.000264,16:30:14
1.11518,0.000264,16:30:14
1.115175,0.000258,16:30:15
1.115167,0.000264,16:30:16
1.115161,0.000264,16:30:17
1.115155,0.000264,16:30:18
1.115149,0.000258,16:30:19
1.115143,0.000264,16:30:20
1.115136,0.000258,16:30:21
1.11513,0.000258,16:30:22
1.115123,0.000258,16:30:23
1.115118,0.000258,16:30:24
1.115113,0.000258,16:30:25
1.115105,0.000258,16:30:26
1.115099,0.000258,16:30:27
1.115092,0.000264,16:30:28
1.115086,0.000258,16:30:29
1.115081,0.000264,16:30:30
1.115073,0.000258,16:30:30
1.115068,0.000264,16:30:31
1.115061,0.000258,16:30:32
1.115057,0.000258,16:30:33
1.11505,0.000264,16:30:34
1.115042,0.000258,16:30:35
1.115037,0.000258,16:30:36
1.11503,0.000258,16:30:37
1.115025,0.000258,16:30:38
1.115018,0.000258,16:30:39
1.115012,0.000258,16:30:40
1.115006,0.000258,16:30:41
1.115,0.000258,16:30:42
1.114993,0.000264,16:30:43
1.114986,0.000258,16:30:44
1.11498,0.000258,16:30:45
1.114972,0.000264,16:30:46
1.114966,0.000258,16:30:47
1.114961,0.000258,16:30:47
1.114954,0.000258,16:30:48
1.114949,0.000264,16:30:49
1.11494,0.000264,16:30:50
1.114936,0.000258,16:30:51
1.114929,0.000258,16:30:52
1.114923,0.000258,16:30:53
1.114916,0.000264,16:30:54
1.114909,0.000264,16:30:55
1.114904,0.000258,16:30:56
1.114898,0.000251,16:30:57
1.114892,0.000264,16:30:58
1.114886,0.00027,16:30:59
1.114878,0.000258,16:31:00
1.114872,0.000251,16:31:01
