Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.17488,0.00101,14:46:25
1.17487,0.00107,14:46:27
1.17483,0.00113,14:46:28
1.17478,0.00101,14:46:30
NaN,NaN,14:46:33
1.17471,0.00101,14:46:35
1.17466,0.00107,14:46:37
1.17461,0.00113,14:46:39
1.17459,0.00107,14:46:42
NaN,NaN,14:46:45
1.17449,0.00101,14:46:47
NaN,NaN,14:46:50
1.17439,0.00119,14:46:53
NaN,NaN,14:46:55
1.17431,0.00101,14:46:57
1.17428,0.00113,14:46:59
1.17421,0.00101,14:47:02
1.17419,0.00113,14:47:04
NaN,NaN,14:47:06
1.17411,0.00094,14:47:08
1.1741,0.00119,14:47:10
1.17407,0.00107,14:47:12
NaN,NaN,14:47:14
NaN,NaN,14:47:16
NaN,NaN,14:47:19
NaN,NaN,14:47:21
NaN,NaN,14:47:24
NaN,NaN,14:47:26
NaN,NaN,14:47:28
NaN,NaN,14:47:31
NaN,NaN,14:47:33
NaN,NaN,14:47:36
NaN,NaN,14:47:38
NaN,NaN,14:47:41
NaN,NaN,14:47:43
NaN,NaN,14:47:46
NaN,NaN,14:47:48
NaN,NaN,14:47:51
NaN,NaN,14:47:53
NaN,NaN,14:47:55
NaN,NaN,14:47:58
NaN,NaN,14:48:00
NaN,NaN,14:48:03
NaN,NaN,14:48:05
NaN,NaN,14:48:08
NaN,NaN,14:48:10
NaN,NaN,14:48:12
NaN,NaN,14:48:15
NaN,NaN,14:48:17
NaN,NaN,14:48:20
NaN,NaN,14:48:22
NaN,NaN,14:48:25
NaN,NaN,14:48:27
NaN,NaN,14:48:30
NaN,NaN,14:48:32
NaN,NaN,14:48:34
NaN,NaN,14:48:37
NaN,NaN,14:48:39
NaN,NaN,14:48:42
NaN,NaN,14:48:44
NaN,NaN,14:48:47
NaN,NaN,14:48:49
NaN,NaN,14:48:52
NaN,NaN,14:48:54
NaN,NaN,14:48:56
NaN,NaN,14:48:59
NaN,NaN,14:49:01
NaN,NaN,14:49:04
NaN,NaN,14:49:06
1.17201,0.00119,14:49:09
1.17199,0.00107,14:49:12
1.17194,0.00113,14:49:14
1.17187,0.00107,14:49:17
1.17186,0.00126,14:49:19
1.17181,0.00107,14:49:21
1.17179,0.00101,14:49:23
1.17173,0.00119,14:49:25
1.17171,0.00113,14:49:27
NaN,NaN,14:49:29
NaN,NaN,14:49:32
NaN,NaN,14:49:34
NaN,NaN,14:49:36
1.171537,0.001005,14:49:38
1.17151,0.00113,14:49:40
1.17148,0.001005,14:49:42
1.17142,0.001193,14:49:45
NaN,NaN,14:49:47
NaN,NaN,14:49:50
1.1713,0.00107,14:49:52
1.17129,0.00132,14:49:54
1.17125,0.00126,14:49:56
NaN,NaN,14:49:58
1.17118,0.00119,14:50:00
1.17113,0.00113,14:50:03
NaN,NaN,14:50:05
1.17107,0.001125,14:50:07
1.17104,0.001256,14:50:09
1.171,0.001068,14:50:12
1.17096,0.00113,14:50:14
1.17093,0.001068,14:50:15
1.17088,0.00113,14:50:18
1.17088,0.001193,14:50:20
1.17084,0.001193,14:50:22
1.1708,0.00107,14:50:24
